,Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Time,Month Or Hours
3434,Search Engine Optimization Specialist,24 Task,"Cairo, Egypt",25 days ago,Full,Experienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing· Digital Marketing· SEO· Social Media· Marketing· English,25,days
3435,Agricultural Engineer,emerge,"Kuwait City, Kuwait",25 days ago,Full,Entry Level · 1 - 4 Yrs of Exp · R&D/Science · Quality · Engineering - Other· Agricultural Engineer· Agricultural· Agricultural Engineering· engineer· Engineering· Irrigation· Landscape,25,days
3436,Sales Marketing Executive,Confidential,"6th of October, Giza, Egypt",25 days ago,Full,Entry Level · Marketing/PR/Advertising · Sales/Retail· Marketing· Sales,25,days
3437,Graphic Designer,emerge,"Kuwait City, Kuwait",25 days ago,Part,Experienced · 2+ Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing· Graphic Design· Animation· Communication· Graphic,25,days
3438,Voice & Non-Voice Agent,Etisal International,"Abbassia, Cairo, Egypt",25 days ago,Full,Entry Level · 0 - 1 Yrs of Exp · females_only · Customer Service/Support· Call Center· Customer Care· Customer Service· Customer Support· Backoffice,25,days
3439,Senior Talent Acquisition Specialist,Ibn Sina Pharma,"New Cairo, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Human Resources· HR· HR generalist· Human Resources (HR)· Interviewing· Recruitment· Talent acquisition· Talent· Talent management· English,25,days
3440,Telemarketing Agent,ENZO for Agencies and Trading L.L.C,"New Cairo, Cairo, Egypt",25 days ago,Full,Experienced · 3 - 10 Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail· Advertising· Marketing· CRM System· CRM· Communication skills· MS Office· Sales,25,days
3441,Fitness Instructor,Confidential,"Qusayr, Red Sea, Egypt",25 days ago,Full,Experienced · 4+ Yrs of Exp · Sports and Leisure · Training/Instructor· Fitness· gym instructor· sport· sport academy· fitness instructor· Gym· Body Composition,25,days
3442,Digital Marketing & Sales Associate (For Mothers),Booktips,"Nasr City, Cairo, Egypt",25 days ago,Work,Entry Level · 1+ Yrs of Exp · females_only · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing· Sales Skills· Digital Marketing· English· Sales· Marketing· Sales Target· Communication Skills,25,days
3443,Infrastructure Architect,Link Datacenter,"Giza, Egypt",25 days ago,Full,Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Architecture· Cisco· Cloud· Computer Science· Design· Engineering· Information Technology (IT)· Infrastructure,25,days
3444,Digital Community Facilitator - (For Mothers),Booktips,"Nasr City, Cairo, Egypt",25 days ago,Work,Entry Level · 1+ Yrs of Exp · females_only · Customer Service/Support · Writing/Editorial · Media/Journalism/Publishing· Books· English· Media· PR· Communication· Marketing· E-marketing,25,days
3445,Senior Civil Site Engineer,Times Development,"New Cairo, Cairo, Egypt",25 days ago,Full,Experienced · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture· Civil Engineering· Engineering· Construction· Site· Project Management· Architecture· Management· Project,25,days
3446,Customer Service Representative - Russian speaker,Lansheng Paper Company,"Nasr City, Cairo, Egypt",25 days ago,Full,Entry Level · 1+ Yrs of Exp · females_only · Customer Service/Support · Sales/Retail· Customer Service· Customer Support· Customer· Support· OR· Computers· English· Sales,25,days
3447,Furniture Sales Engineer,Future Office Furniture,"Heliopolis, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 4 Yrs of Exp · females_preferred · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Sales/Retail· Sales· Engineering· Sales Target· Communication· sales skills· Sales Engineering· Interior Design,25,days
3448,Architect,Memaar Alashraaf,"Cairo, Egypt",25 days ago,Full,Experienced · 4 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture· AutoCAD· 3D Max· Drawing· Architecture· Design· Adobe Photoshop· Architectural Engineer· Revit Architecture· Engineering,25,days
3449,Online Placement Tester -Working From Home,English Capsules,"Nasr City, Cairo, Egypt",25 days ago,Full,Entry Level · 0 - 1 Yrs of Exp · Education/Teaching · Training/Instructor· English· Teaching· placement,25,days
3450,CRM Analyst (HubSpot User),almentor,"Maadi, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 4 Yrs of Exp · Analyst/Research· Analysis· CRM· HubSpot· English· Information Technology (IT)· Computer Science· Business Analysis· Software· Education,25,days
3451,Production Support Engineer,Perfect Presentation,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Manufacturing/Production· Production· production support· Support· DevOps· Computer Science· Windows· MS SQL· Database,25,days
3452,Personal Assistant,Dimofinf Operations Center,"Nasr City, Cairo, Egypt",25 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · females_only · Administration· Microsoft Office· Administration· Communication· Office management· Admin· Management· Secretary,25,days
3453,Senior Sales Executive - Real Estate,Verona real estate development company,"Montaza, Alexandria, Egypt",25 days ago,Full,Experienced · 3+ Yrs of Exp · Sales/Retail· Sales· sales skills· Sales Target· Customer Service· Real Estate,25,days
3454,Officer - Sales Administration,BAHRA ELECTRIC,"Nasr City, Cairo, Egypt",25 days ago,Full,Experienced · 2+ Yrs of Exp · Administration· Admin· Administration· Sales Administration· Admin Work· Sales Analysis· English· Computer Skills· Microsoft Office,25,days
3455,Head of Tendering and Contracting,ElSoadaa Group,"Cairo, Egypt",25 days ago,Full,Manager · 12 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture· Contracting· Engineering· Tendering· Civil· Construction· Architecture· Communication,25,days
3456,Quality Assurance - IPC,Atco Pharma For Pharmaceutical Industries,"Monufya, Egypt",25 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · R&D/Science · Quality · Pharmaceutical· QA· quality· Quality Assurance· Science· Pharmacy· English,25,days
3457,Real Estate Senior Sales Consultant,Verona real estate development company,"Nasr City, Cairo, Egypt",25 days ago,Full,Experienced · 2+ Yrs of Exp · Sales/Retail· Sales· sales skills· Sales Target· Real Estate,25,days
3458,C# NET Developer,Perfect Presentation,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· .Net· HTML5· ASP.Net· Software Development· Information Technology (IT)· Computer Science· Agile· C#,25,days
3459,Business Analyst,Perfect Presentation,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology· Business Analysis· business· Analysis· Information Technology (IT)· Computer Science,25,days
3460,Outdoor Marketing Specialist,Major for Construction and Decoration,"Sheraton, Cairo, Egypt",25 days ago,Full,Entry Level · 1+ Yrs of Exp · females_only · Marketing/PR/Advertising· Communication· Marketing· Negotiation· Sales· Skills· outdoor marketing,25,days
3461,Cable Design Engineer,BAHRA ELECTRIC,"Nasr City, Cairo, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · Manufacturing/Production · Engineering - Mechanical/Electrical· Design Engineering· Electrical Engineering· Power cables manufacturing· testing process· Design· Electrical· Engineering,25,days
3462,Real Estate Sales Admin,Verona real estate development company,"Nasr City, Cairo, Egypt",25 days ago,Full,Experienced · 3 - 5 Yrs of Exp · females_only · Administration · Sales/Retail· English· CRM· Microsoft Office· Administration· Secretary· Sales Admin,25,days
3463,Database Administrator,Perfect Presentation,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Database Administrator· Database· DBA· Programming· Computer Science· Information Technology (IT),25,days
3464,Software Quality Control Engineer,Perfect Presentation,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· Quality Control· Quality Assurance· Computer Science· ISTQB· Software Testing· Testing,25,days
3465,Account Executive,Confidential,"Smouha, Alexandria, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance· Accounting· Financial Accounting· Account Management· Sales· Customer Service· sales skills· Customer Care,25,days
3466,"Senior Sales "" Hotels Background """,NEW JERSEY Developments,"New Cairo, Cairo, Egypt",25 days ago,Full,Experienced · 3 - 5 Yrs of Exp · Hospitality/Hotels/Food Services · Sales/Retail· sales skills· Hotels· Sales· Customer Service,25,days
3467,IT Engineer,Chint Egemac,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Computer Engineering· Computer Science· IT· Information Technology (IT)· Technical Support· MCSE· MCITP,25,days
3468,Stock Specialist,Confidential,"Smouha, Alexandria, Egypt",25 days ago,Full,Experienced · 2 - 4 Yrs of Exp · Logistics/Supply Chain · Manufacturing/Production· English· inventory· Management· Stock· Stock Management,25,days
3469,Treasury Accountant,CONTACT DEVELOPMENTS,"New Cairo, Cairo, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance· Accounting· Treasury· Finance· Financial· Financial Analysis,25,days
3470,Alumni Officer,Nile University,"Sheikh Zayed, Giza, Egypt",25 days ago,Full,Entry Level · 0 - 2 Yrs of Exp · Administration· Administration· Student Affairs· Communication· Microsoft Office· presentation,25,days
3471,Sales Manager,Agrisolar,"6th of October, Giza, Egypt",25 days ago,Full,Manager · 7+ Yrs of Exp · Operations/Management · Sales/Retail· Sales Skills· Management· Marketing· Business· Sales Manager· Sales Target· Engineering· Leadership,25,days
3472,Tire Maintenance Supervisor,Sukari Gold Mines,"Red Sea, Egypt",25 days ago,Full,Experienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical· Mechanical Engineering· Engineering· Maintenance· Maintenance Engineering,25,days
3473,Valves Sales Engineer,Anasia Egypt for Trading,"Sheraton, Cairo, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical· Engineering· Electrical· Mechanical· Sales· Sales Skills· Mechatronics· Sales Target· Valves,25,days
3474,IT information Security Consultant,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",25 days ago,Full,Experienced · 6 - 9 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· ISO 27001· Information Security· Information Technology (IT)· Computer Science· ISO· Information Security audit· Security· Computer Engineering,25,days
3475,Front End Developer (React.JS),storage it station,"Maadi, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· React· Computer Science· Js· JavaScript· HTML· CSS· Design· front-end,25,days
3476,Infrastructure and Platforms Manager,AsSalam International Hospital,"Maadi, Cairo, Egypt",25 days ago,Full,Manager · 8 - 12 Yrs of Exp · IT/Software Development · Medical/Healthcare · Engineering - Telecom/Technology· IT Infrastructure· Cloud· Communication· Information Technology (IT)· Engineering· Computer Science· Infrastructure,25,days
3477,IT Support Engineer,Alumil,"Heliopolis, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Applications· MCSA· Vmware· Computer Science· ESXi· Engineering· Information Technology (IT),25,days
3478,Senior PHP Developer,storage it station,"Maadi, Cairo, Egypt",25 days ago,Full,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· PHP· Computer Science· Software Engineering· Software Development· Software· CSS3· Git· HTML5,25,days
3479,Front End Developer - Vue JS,Perfect Presentation,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Software Development· Information Technology (IT)· Computer Science· javaScript· HTML· Angular· React· jQuery,25,days
3480,Accountant (Khusus),Alumil,"khusus, Qalubia, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance· Accounting· Finance· Financial Analysis· Financial Management,25,days
3481,Senior Property Consultant - (Real Estate),LUD Development,"New Cairo, Cairo, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Sales/Retail· Real Estate Sales· Real Estate· Sales· communication· sales skills· Sales Target,25,days
3482,Senior Piping Engineer,Micro Engineering,"Suez, Egypt",25 days ago,Full,Experienced · 10+ Yrs of Exp · Engineering - Mechanical/Electrical· Mechanical· Engineering· Mechanical Engineering· technical· Communication· CAD· Engineering Drawing· Communication skills· Gas,25,days
3483,E Commerce & Social Media Specialist,Nile Projects & Trading,"Alexandria, Egypt",25 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Media/Journalism/Publishing· English· Social Media· Customer Service· Customer Support· Web Marketing· Marketing· E-Marketing,25,days
3484,English Instructor - Smart Village,Speakup,"Maadi, Cairo, Egypt",25 days ago,Part,Entry Level · 1 - 3 Yrs of Exp · Education/Teaching · Training/Instructor· Teaching· Education· Online Teaching· Learning· English· Instruction· Instructor· lessons,25,days
3485,Senior Management Accountant,Dreem Mashreq Foods,"Smouha, Alexandria, Egypt",25 days ago,Full,Experienced · 5 - 8 Yrs of Exp · Accounting/Finance· Accounting· CMA· Finance· Financial Management· Financial Analysis,25,days
3486,Sales Administrator,Concept Properties,"New Cairo, Cairo, Egypt",25 days ago,Full,Entry Level · 1+ Yrs of Exp · Administration· Business Administration· Communication· Communication skills· excel· MS· MS Office· Real Estate· English· Sales,25,days
3487,IT Specialist,Future Office Furniture,"Heliopolis, Cairo, Egypt",25 days ago,Full,Experienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· information technology· Information Technology (IT)· Installation· Networking· MCSA· Networks· Technical Support,25,days
3488,Senior Odoo Developer,PerfectTech,"Cairo, Egypt",25 days ago,Full,Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Development· Information Technology (IT)· Software· Software Development· Python· JavaScript,25,days
3489,Mechatronics Maintenance Engineer,Harvest Foods,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 5 - 7 Yrs of Exp · males_preferred · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical· Electrical Engineering· Engineering· Mechanical Engineering· Maintenance· FMCG· English,25,days
3490,Telemarketing Representative,Crystal Mind,"Cairo, Egypt",25 days ago,Full,Experienced · 2+ Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail· Customer Service· Customer Support· Sales· CRM· CRM Software· Telemarketing· English,25,days
3491,Senior AR Accountant,El Baron Developments,"New Cairo, Cairo, Egypt",25 days ago,Full,Experienced · 4 - 7 Yrs of Exp · Accounting/Finance· Accounting· Communication· Communication skills· ERP System· ERP· Finance· Financial Analysis· Financial Management· Real Estate,25,days
3492,Senior Accountant,Cairo Mobile Film Festival,"Heliopolis, Cairo, Egypt",25 days ago,Full,Experienced · 10 - 15 Yrs of Exp · Accounting/Finance· Finance· Financial Management· Financial Analysis· Accounting· Management· English· Financial Accounting· Accounts Payable· Balance Sheet,25,days
3493,Product Owner,FlairsTech,"Maadi, Cairo, Egypt",25 days ago,Full,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology· Software Development· Project Management· Information Technology (IT)· English· Computer Science· Product Owner· Agile,25,days
3494,Technical Office Electrical Engineer,Mobco Civil Construction,"Nasr City, Cairo, Egypt",25 days ago,Full,Experienced · 4 - 6 Yrs of Exp · Engineering - Mechanical/Electrical· Electrical Engineer· Electrical· Electrical Engineering· AutoCAD· Engineering· Technical Office· engineer· Autodesk Revit· Revit,25,days
3495,Oracle Apex Developer,Al Beshara,"Nasr City, Cairo, Egypt",25 days ago,Full,Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· CSS· HTML5· Computer Science· Information Technology (IT)· Oracle PL/SQL· PL/SQL· Programming· Software Development,25,days
3496,QHSE Specialist,Confidential,"Giza, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Medical/Healthcare · Quality· Quality Assurance· QHSE· Health &amp; Safety· Quality Auditing· QA· Quality Control,25,days
3497,Purchasing Executive,Confidential,"10th of Ramadan City, Sharqia, Egypt",25 days ago,Full,Entry Level · 0 - 3 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement· Purchasing· Commerce· Procurement· Logistics,25,days
3498,Technical electrical Engineer,EGICAT,"Giza, Egypt",25 days ago,Full,Experienced · 0 - 4 Yrs of Exp · Engineering - Mechanical/Electrical· AutoCAD· HVAC· Construction· Mechanical Engineering· Revit· Plumbing· Microsoft Office· Engineering· Fire,25,days
3499,Business Development Specialist,ECE,"Sheraton, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Business Development · Sales/Retail· Engineering Services· Business Development· business· Communication· Marketing· Negotiation· negotiation skills· sales skills,25,days
3500,Account Manager,SAK marketing,"New Cairo, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 3 Yrs of Exp · Customer Service/Support· Marketing· Account manager· Customer Service· Customer Care· Customer Support,25,days
3501,Technical Recruitment Specialist,Afaqy,"Maadi, Cairo, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Human Resources · IT/Software Development· Recruitment· Human Resources (HR)· Recruiting· English· Microsoft Office· Communication Skills· Software· Human Resources,25,days
3502,"Senior IT Specialist ""BPO / Outsourcing industry """,Tawzef,"Cairo, Egypt",25 days ago,Full,Experienced · 4+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Configuration· Information technology· Information Technology (IT)· Maintenance· Microsoft· Software Development· Software Engineering,25,days
3503,E Commerce Specialist,Nile Projects & Trading,"New Cairo, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing· Commerce· E-Commerce· E-Marketing· English· Fashion· Marketing· Social Media,25,days
3504,Hostess / Waitress,Confidential,"North Coast, Matruh, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Administration · Hospitality/Hotels/Food Services· Hospitality· Cafe· Hosting· Administration,25,days
3505,Junior Sales Engineer-Automotive Tires,Nile Projects & Trading,"Cairo, Egypt",25 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Operations/Management · Sales/Retail · Engineering - Mechanical/Electrical· Engineering· Promotions· Retail· Sales· Marketing· Sales Target· Sales Skills,25,days
3506,Oracle Financial Functional Consultant,Confidential,"6th of October, Giza, Egypt",25 days ago,Full,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology· Oracle Forms· SQL· Information Technology (IT)· Computer Science· PL· Oracle· Computer Skills,25,days
3507,Head Of Careers Service,Global Academic Foundation Hosting University of Hertfordshire UH,"New Capital, Cairo, Egypt",25 days ago,Full,Senior Management · 5+ Yrs of Exp · Education/Teaching · Training/Instructor· Communication· Customer Service· Customer Support· Customer Care· Training· Microsoft· Education· Quality Assurance,25,days
3508,Senior Software Quality Control Engineer,ITS,"Cairo, Egypt",25 days ago,Full,Experienced · 4+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· Computer Science· Quality Control· Information Technology (IT)· Software Testing· Software Development· Quality Assurance· Quality,25,days
3509,Application Support Engineer (L2 Banking Support),ITS,"Cairo, Egypt",25 days ago,Full,Experienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Computer Science· Banking· SW/DB Development· SQL· Technical Support· Application Support· Oracle,25,days
3510,Sales Manager (ERP Software),Confidential,"Nasr City, Cairo, Egypt",25 days ago,Full,Manager · 5+ Yrs of Exp · IT/Software Development · Medical/Healthcare · Sales/Retail· Communication skills· Sales Target· Customer Service· Management· ERP· Medical· Sales,25,days
3511,Sales Petroleum Engineer,Confidential,"Sheikh Zayed, Giza, Egypt",25 days ago,Full,Experienced · 5 - 8 Yrs of Exp · Sales/Retail · Engineering - Oil & Gas/Energy· Communication· Engineering· English· MS· Negotiation· negotiation skills· Sales· Petroleum,25,days
3512,Account Executive - Russian Speaker,Lansheng Paper Company,"Nasr City, Cairo, Egypt",25 days ago,Full,Entry Level · 2 - 4 Yrs of Exp · females_only · Sales/Retail· Sales· Sales Skills· Sales Target· Retail· Business Development· Customer Service· Account Executive,25,days
3513,General Accountant,Lansheng Paper Company,"Nasr City, Cairo, Egypt",25 days ago,Full,Experienced · 2+ Yrs of Exp · Accounting/Finance· Accounting· Communication skills· Finance· excel· Financial Management· Financial Analysis· MS· English· MS Excel,25,days
3514,Call Center Agent,NATCO MercedesBenz,"6th of October, Giza, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Customer Service/Support· Communication skills· CRM· English· Customer Care· Customer Service· Customer Support· Call Center,25,days
3515,Customer Service Representative - Turkish speaker,Lansheng Paper Company,"Nasr City, Cairo, Egypt",25 days ago,Full,Entry Level · 1+ Yrs of Exp · females_only · Customer Service/Support · Sales/Retail· Customer Service· Customer Support· Customer· Support· OR· Computers· English· Sales,25,days
3516,Bridges project Manager,R squared Holding,"Obour City, Cairo, Egypt",25 days ago,Full,Manager · 15 - 20 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management· Bridges· Computer Science· Engineering· Information Technology (IT)· Manager· Project· Project Management· Civil Engineering,25,days
3517,QA Documentation Engineer - Internship,Yes Pac,"6th of October, Giza, Egypt",25 days ago,Internship,Entry Level · 0 - 1 Yrs of Exp · Quality · Engineering - Other· Quality Assurance· QA· Science· Agricultural Engineering· GMP· GHP· English· Agriculture,25,days
3518,Procurement Manager -,Confidential,"Nasr City, Cairo, Egypt",25 days ago,Full,Manager · 10+ Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement· Communication· Engineering· Purchasing· Supply Chain· Logistics· Procurement,25,days
3519,Technical Sales Engineer,Promech Engineering,"Maadi, Cairo, Egypt",25 days ago,Full,Experienced · 3 - 5 Yrs of Exp · Engineering - Mechanical/Electrical· Mechanical· Mechanical Production· Production Engineering· Sales Target· sales skills· English· Engineering,25,days
3520,Automation Engineer - Cairo,Promech Engineering,"Maadi, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Engineering - Mechanical/Electrical· Mechatronics· Power Engineering· Mechatronics Engineering· Automation Engineering· electric power engineering· English· Engineering· Automation· Power,25,days
3521,HRIS & Payroll Officer,Obegi Chemicals,"Maadi, Cairo, Egypt",25 days ago,Full,Experienced · 4 - 7 Yrs of Exp · Human Resources· HRIS· English· Human Resources (HR)· ERP· Human Resources· Payroll· Recruitment· Arabic· Commerce,25,days
3522,Purchasing Intern - Alexandria,Prometeon Tyres Group – Egypt (ExPirelli Tyres Egypt),"Ameria, Alexandria, Egypt",25 days ago,Internship,Entry Level · 0 - 1 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement· Logistics· Purchasing· Warehousing· Supply Chain· AAST· Communication Skills· English,25,days
3523,Senior Mechanical Engineer,valves engineering company,"Badr City, Cairo, Egypt",25 days ago,Full,Experienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical· Maintenance· Valves· Mechanical Engineering· Oil Field· Manufacturing· Mechanical· Engineering· Communication skills,25,days
3524,Senior Java Developer,Confidential,"Nasr City, Cairo, Egypt",25 days ago,Full,Experienced · 10 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Software Engineering· Spring· Spring Boot· Software Development· Computer Science,25,days
3525,Treasury Section Head - رئيس قسم التمويل,Shabana Group,"Nasr City, Cairo, Egypt",25 days ago,Full,Manager · 5 - 7 Yrs of Exp · Accounting/Finance· Retail Sales· Treasury· Distribution· Manufacturing· Finance· Financial Analysis· Financial Management· ERP,25,days
3526,Secretary,Naftogaz,"Maadi, Cairo, Egypt",25 days ago,Full,Entry Level · females_only · Administration· Administration· English· Office management· MS Office· Secretary· Microsoft Office,25,days
3527,Promotion Category Manager,Nahdet Misr Publishing Group,"Giza, Egypt",25 days ago,Full,Manager · 10 - 12 Yrs of Exp · Operations/Management · Sales/Retail· Sales· Sales Target· Sales Field· Sales Management· Sales Skills,25,days
3528,Branch Accountant,Pharmascienta  Nefertari Body Care,"Dokki, Giza, Egypt",25 days ago,Full,Entry Level · 1 - 3 Yrs of Exp · Accounting/Finance· Accounting· Commerce· English· Finance· Financial Management· MS· MS Office,25,days
3529,Sr. Network Security Engineer,Target Recruitment & HR Solutions,"Sohag, Egypt",25 days ago,Full,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Information Systems· Information Technology (IT)· Engineering· Computer Science· Network Security· Computer Security· Networking,25,days
3530,Human Resources Manager,Elalamein Flex,"Bourj Alarab, Alexandria, Egypt",25 days ago,Full,Experienced · 5 - 7 Yrs of Exp · males_only · Human Resources· HR· HR Assistant· Human Resources (HR)· Microsoft Office· Personnel· Recruitment· Oracle,25,days
3531,Customer Service Representative - Sheikh Zayed,Edara Property Management,"Sheikh Zayed, Giza, Egypt",25 days ago,Full,Entry Level · 0 - 3 Yrs of Exp · Customer Service/Support· Customer Service· Customer Support· Communication Skills· English· Customer Care· Communication· Customer Relations,25,days
3532,Poster Designer,MFAMEA,"Nasr City, Cairo, Egypt",25 days ago,Full,Experienced · 2 - 5 Yrs of Exp · Creative/Design/Art· Adobe Indesign· Adobe Photoshop· Graphic Design· Design· English· arabic· Industrial Design· Interior Design,25,days
3533,Customer Service Representative - New Cairo,Edara Property Management,"New Cairo, Cairo, Egypt",25 days ago,Full,Entry Level · 0 - 2 Yrs of Exp · Customer Service/Support· Customer Service· Customer Support· Communication Skills· English· Customer Care· Communication· Negotiation,25,days
3534,Personnel Specialist,IDH,"Abu Rawash, Giza, Egypt",25 days ago,Full,Entry Level · 1 - 2 Yrs of Exp · Human Resources· Human Resources (HR)· Personnel· Operations· Labor Laws· Labor· Microsoft Office· Recruitment· Communication,25,days
3535,Electrical Site Engineer - Infrastructure works,Confidential,"New Cairo, Cairo, Egypt",25 days ago,Full,Experienced · 3 - 9 Yrs of Exp · Engineering - Mechanical/Electrical· Electrical Engineering· Electrical· Shop Drawing· Infrastructure· Construction· Site Electrical Engineering· Engineering· AutoCAD· Drawing,25,days
3536,Software Development & Support Team Leader - Commercialization,Dafater,"Nasr City, Cairo, Egypt",25 days ago,Full,Manager · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Communication· APIs· Computer Science· Leadership· REST· Software Development,25,days
3537,Sales Manager - Logistics Industry Experience,Confidential,"Cairo, Egypt",25 days ago,Full,Manager · 10 - 15 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Sales/Retail· Sales Management· Logistics· Sales· Business Development· Sales Target· Sales Field· Sales Plan,25,days
3538,Customer Success Manager,Confidential,"Heliopolis, Cairo, Egypt",25 days ago,Full,Manager · 5 - 8 Yrs of Exp · Customer Service/Support · IT/Software Development · Operations/Management· SaaS· Software Development· Software Engineering· B2C· Computer Science· Engineering· Customer Success,25,days
3539,Sr. Supervision Engineers - All Specialties (Architect - Electrical - Mechanical - QS),MAC EGYPT REAL ESTATE CO.,"10th of Ramadan City, Cairo, Egypt",25 days ago,Full,Experienced · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other· Engineering· Senior· Consultant· Supervision· Mechanical Engineering· Architectural Engineering· Electrical Engineering,25,days
3540,Senior Property Consultant,Next Door Consultancy,"Heliopolis, Cairo, Egypt",25 days ago,Full,Experienced · 2+ Yrs of Exp · Sales/Retail· Negotiation· Communication· Real Estate· Sales· sales skills· Sales Target,25,days
